,id,isotope_scatt,S_vib,Cv
0,0,7215769791.233034,161.85480360325786,88.87174500636581
1,1,133677518879.52042,260.0888339684578,108.79677557094885
2,2,34863012354.17972,162.41603747434718,86.40680175266745
3,3,11529887.52493683,713.623697751101,48.70205412568627
4,4,23020798006.226654,117.8660567702895,69.69621225355057
5,5,171860964.97382703,185.98230337380582,67.63159844799551
6,6,134371125.86155087,2790.54808675296,148.47901040988177
7,7,23690658712.91124,-13.740048897714043,94.82419915884086
8,8,11094658993.74278,442.06833884261334,141.85122026940874
9,9,25027798966.596703,424.0160991313734,262.2125527436624
10,10,17608495766.758476,663.5435567870088,403.56273124287367
11,11,7960346953.201733,83.46572030699424,131.0774799385123
12,12,6039798238.626707,8715.736740393166,821.0605135028301
13,13,19802271003.77533,611.3798439838872,177.06576893943694
14,14,24779693770.420685,565.8475417147374,418.10361540843724
15,15,70400932956.81018,250.1132861226997,161.5700760427146
16,16,7577868319.417048,24.91825530752833,56.602058757088095
17,17,29116961414.73042,71.69493787624303,105.82650222758777
18,18,4071627325.741705,1782.44726031154,402.3511339255177
19,19,34903150115.96999,295.0799696444765,269.8883859884274
20,20,6428299412.0601015,1399.7901212254162,256.1527414395374
21,21,605730358.7956345,593.261763846338,72.99167635475258
22,22,25797859091.051167,349.74114871858364,204.7736596715653
23,23,25095000865.76552,511.2596160505688,162.77155993902886
24,24,0.0,109.59681540023023,43.86533611088069
25,25,185067287319.9582,95.83380019951039,108.94321098393617
26,26,7707661635.226486,129.04277181349624,40.711428578782865
27,27,3689340768.874926,1562.622983752614,617.6675749628547
28,28,10579222722.432465,1044.1501455862604,205.32633330086526
29,29,0.0,349.02185798034077,47.92173278445186
30,30,932662609.5217197,413.82388747593785,299.1293175360988
31,31,530937739.9686167,115.88813707356219,80.19939272780945
32,32,241381959.40669936,3468.9927379563587,219.3038446601661
33,33,165720703.376737,122.1970967645789,112.29816838953637
34,34,7534909595.914654,242.04445440661345,118.25532924243075
35,35,98558704180.47008,1297.89637027238,280.6601173910966
36,36,2240482924.8747697,3456.819431822566,144.53596236017526
37,37,4329761707.904341,1887.9873035651103,139.33727521845927
38,38,6838841197.0800905,2441.000686822575,141.98436632968986
39,39,3236608063.708114,2186.1185758484685,145.11511869641683
40,40,2173095510.710089,3370.4523347943095,144.03435150231428
41,41,81961488.44622043,1012.1303206964301,98.31313963828775
42,42,3140767941.8341565,1894.9254052232288,140.4502503098902
43,43,92656698724.86992,1038.4030824011838,472.65942724455334
44,44,3046121402.3823805,2556.146874509735,142.58933678939673
45,45,5237736727.228788,778.612046119747,24.512803629347786
46,46,54502773884.93964,587.4895539690584,249.47532054673144
47,47,200825857.75560218,1700.5255591117307,143.27370394561504
48,48,17596670849.910034,755.1079463498111,136.8445483018575
49,49,16505482781.830404,326.71721598824996,211.79230411818668
50,50,4673377232.933524,534.375317690563,143.32481391739682
51,51,10798696611.774405,499.97992291648035,291.6507257827562
52,52,1366294850.1255183,1684.583683867247,605.1154385710253
53,53,11710852473.770628,240.32580451167354,109.21822014376511
54,54,9593079456.170818,694.7584907875349,198.62735136931488
55,55,7149855877.012662,148.479017295242,44.88716518127662
56,56,151378870771.83542,638.1020195126708,169.31831982049354
57,57,94356964.1640977,21.243904892849972,60.25392458414175
58,58,16759980062.320105,752.6136068696534,281.1809674617258
59,59,393363907.15395147,2859.032884502464,147.47807950666947
60,60,233119094.04736468,1015.4535316873428,74.7425660382535
61,61,4330173806.544541,2464.9577989699487,140.4533700807823
62,62,3276476932.681379,3408.2406325028537,144.3538324604866
63,63,483261613.4265564,4005.508398338377,146.75846513460274
64,64,13352004744.791025,489.23680570937347,158.00811341288323
65,65,1648141994.7042506,3054.8696384987893,142.53894925128742
66,66,3341024901.5173607,2544.0090345910085,144.82605742914464
67,67,56959712653.64011,182.42666143840168,210.9859588533175
68,68,2034510957.3497956,4011.7115093868483,144.76172225299428
69,69,3293918458.5043507,436.9454637475734,72.19090821507568
70,70,6876546370.071374,3198.02077768055,142.09075354773017
71,71,1269011035.0580497,688.5102802972216,142.43697077130543
72,72,18340461426.45789,21.711358595750152,37.68334912540983
73,73,170996415.17810553,340.95312493621293,48.99986563494032
74,74,10800067876.27635,44.279502250250154,22.59445858280436
75,75,2010836161.0962758,82.93342371002842,103.48301456713344
76,76,233364304.09777185,246.73193319120784,117.62982438447804
77,77,14415390137.91816,1117.7056753692536,210.74133981825736
78,78,4387490992.335801,376.6098843173283,150.35678595340534
79,79,21712649938.646275,153.97993268146672,97.30701945349617
80,80,9273868829.517117,293.9838049403345,138.22005346670858
81,81,37069372002.98552,259.2654531500766,86.94390502538334
82,82,37453167833.97846,338.19864670368577,199.3802040978281
83,83,6722001084.82705,18.595589665392644,45.51396537057979
84,84,14696808976.80944,33.27142786676661,116.48793028964381
85,85,1202454920.60616,10.986801581230969,80.63763712256267
86,86,51600501.9868714,96.22928310285647,92.14638542637798
87,87,33159375327.399967,245.40934648234798,60.01803367277352
88,88,131583055378.91035,72.06448094934821,78.17506868420243
89,89,4181624571.6061425,581.1651871154725,143.4293135952912
90,90,27418477113.791794,477.3103171065093,100.01981082627047
91,91,518899551.8452941,1327.1338715990066,73.47320738832478
92,92,9817479221.813698,95.70853558806935,62.40132378117646
93,93,22994651677.749752,438.14786987876096,123.89224297739811
94,94,1511882808.9595013,413.4047129940545,71.89123152053416
95,95,639444748.7215827,490.8994804442286,71.59889466994575
96,96,8194820070.234969,176.9663609261547,104.60451883487242
97,97,0.0,1168.7595605146448,207.1238914469306
98,98,666839386.212896,715.2030784021083,97.8828101357287
99,99,1302596545.584802,116.14791684902107,90.29398148635181
100,100,1110583094.6814737,20.679275054854067,345.7050001108825
101,101,3211758929.1905527,1019.6194547722927,234.74924192605855
102,102,7592144979.975422,388.72374373345065,209.98302057540556
103,103,0.0,217.46654057890518,91.3252430393954
104,104,1678925244.16916,257.4578280826564,121.60792301939817
105,105,2538600708.8273025,2483.758475505143,141.35040373409174
106,106,70453499846.18497,231.90801950865693,185.7847966729957
107,107,1002433975.7275158,113.68741786994717,95.75205768370559
108,108,1714688550.9623299,274.1215160936453,65.79446722346414
109,109,7760714354.103841,100.95100630213426,65.54390274558757
110,110,21353549874.117126,121.39455428524565,155.77412488397195
111,111,9351652803.252075,2646.843581004558,138.37316520604597
112,112,58191754738.8798,243.91667663111758,108.85106494190764
113,113,30150747558.16171,305.6701544047909,81.46262042314366
114,114,2466219636.359744,871.0360260413922,138.66449184331276
115,115,10914368861.779222,296.46827809157884,95.64478044285448
116,116,9149002694.13092,105.601305395833,132.3124377531944
117,117,199395365276.77707,86.59588466566201,55.29395322320336
118,118,4614754297.475005,72.43226526117039,142.185741194434
119,119,18434607701.882687,623.6966222954866,192.7964649011694
120,120,17833243542.549316,202.38758571357246,139.18029138315214
121,121,2879069931.8748255,1559.125619054656,142.77602787365342
122,122,15179750836.533106,200.64220742017957,67.0408790743102
123,123,2579381995.2575426,2149.866005933234,142.98367000775357
124,124,3744084902.008454,68.07659459292407,47.32525953507255
125,125,3313466890.540655,57.92291293626401,92.52483584911667
126,126,1805117322.9441152,2203.991587346677,146.03245246644505
127,127,10885338087.565584,366.8553707122852,86.75242755046433
128,128,4324282086.497844,3463.3228610877054,141.10917510876445
129,129,582304998.0169994,2653.790955627262,148.22816244475095
130,130,3288699706.0777264,2330.239455020491,141.60785335819236
131,131,6559866783.86049,259.8415039305957,45.78624876720772
132,132,-75601569.16351147,711.255612981758,74.69913428545054
133,133,4244392884.542598,339.4691353986162,93.85586544455927
134,134,2004828911.6666472,587.346531799312,379.34923281685207
135,135,3720985266.812228,455.60284786116694,213.8267448006138
136,136,1979880095.9931152,2654.566838750311,144.18890882584432
137,137,8223564904.255854,84.1716326356186,99.93133256273664
138,138,2971080819.65938,446.0333057064098,203.85769643733022
139,139,5845355386.067284,-2.729880054226258,89.14388468389899
140,140,1785362340.9335158,2677.7507858487343,145.1039211565082
141,141,0.0,1582.8507347273066,136.5078967113275
142,142,50274873947.44698,673.502321918726,276.1438623440301
143,143,38521699232.864815,1663.6530112525045,759.0994904666901
144,144,16010987181.93876,448.82340520194435,161.5494210298278
145,145,19700832033.671284,25.018994656573703,112.76977762523912
146,146,9558178896.990665,55.96410289147089,64.66750791042556
147,147,16900364225.861134,269.48999601085876,190.0854548354875
148,148,1607062776.260585,234.1511367644012,71.48790981950455
149,149,3171068185.8483906,2106.9037318077685,142.4047607403494
150,150,33917763513.755806,197.13748409911886,312.6418853685622
151,151,35018791600.86503,526.4020757546053,186.43308860802964
152,152,2032188638.4759655,2827.9940658659293,144.7556934338327
153,153,9987429558.55558,200.92215488161872,107.10541096716004
154,154,5278766910.129936,1570.095682790526,286.9203934262138
155,155,35979310500.76568,49.089966984950436,173.23566830466638
156,156,8558161248.26516,280.3897308023094,66.92734155011581
157,157,105565553741.31104,94.12515466680614,159.49115976962656
158,158,36359443355.49636,211.33654451400724,377.5289176360658
159,159,17328244668.260525,1272.7342149516712,194.95807195721096
160,160,83956073130.7321,568.2906296323189,167.98032606806294
161,161,4467934586.800504,1551.1224025205154,141.19730851847586
162,162,682942.532351641,635.8439220094144,120.89400184022425
163,163,25506344774.21415,96.97602740957349,131.59716835308544
164,164,-32415241.754298594,242.41610782782712,24.82637051047495
165,165,4363654991.008379,766.8377078559212,210.2828235891642
166,166,1878650661.2404509,1716.3546054600172,239.94330107334878
167,167,3646831328.853611,3206.060944348741,142.53996116954113
168,168,34605744947.31536,67.10698348782967,80.29609615496001
169,169,98144312230.43425,123.17753082877641,246.20118470227655
170,170,139499589066.71143,622.6495963482296,216.33517325432868
171,171,2043369435.2468643,310.471350179849,390.2039116818342
172,172,10962059717.777,499.8655335146967,223.51486285024774
173,173,635309594.4448255,1039.5162317514764,114.81906927783238
174,174,16614900115.967113,842.453336192833,398.2679140692041
175,175,2019085713.2545924,171.9442646995862,152.8733074792455
176,176,649454811.9194262,81.50705584613668,117.67666263607715
177,177,41257863989.827934,495.5816919225965,126.39224734252444
178,178,7502695599.217498,496.44314079506205,94.19395970512345
179,179,18804912446.645775,-10.622546574496992,49.023054650972
180,180,260243734.1762331,110.3657054712502,112.57989843717958
181,181,12494488881.68642,400.2576452176992,117.20914555996092
182,182,54426352246.865746,275.73074830999724,409.1235209855816
183,183,7414908084.331859,2189.625304111172,655.6951735402049
184,184,5025280990.443448,187.88332370049616,61.84579921748149
185,185,81467804265.86794,299.156690287492,175.36883119863398
186,186,5820653668.122136,1796.7370031906605,143.15859660602325
187,187,2425749764.0823803,191.50171394013094,126.08678289418901
188,188,15481872324.896826,480.526049567943,186.26598157989426
189,189,75599114.82195373,82.3826063643014,183.9817397014452
190,190,4869404633.777839,452.2625384424836,228.3367112435782
191,191,9363582883.69962,914.2640681311033,171.7637075893763
192,192,9081115001.58842,196.65319625464753,223.60899864535685
193,193,737620387.3753885,206.28278079135163,161.82524392014557
194,194,668397568.9888866,230.60498372268816,311.6030861743511
195,195,84465710697.14507,159.1958181622502,153.98807574933
196,196,98367488.6427929,652.125725697663,126.2152400322518
197,197,9021505915.41885,41.241616618968244,120.34422621503866
198,198,91855575421.67671,81.73932415327587,95.36743322178398
199,199,11639898949.28586,93.05893244577867,164.25611620712527
200,200,2066732098.8354328,256.540547781308,90.99752091798928
201,201,12874384076.887333,1.141920686626542,11.580562141811086
202,202,4731799275.37804,61.98783834716056,128.00978950945856
203,203,40713562679.6538,393.0091396261853,162.0368737316482
204,204,107618351540.21313,290.45511130239095,146.18436820271336
205,205,30023110312.098194,351.0354272994363,182.8340547202766
206,206,3249530224.782256,297.0099692718499,93.13994097393129
207,207,9811379284.659153,139.34758367795942,161.24811918624343
208,208,2440812750.9775124,1310.8360299771662,138.59240847617357
209,209,3009861261.5622067,649.0138124147502,169.84747916459855
210,210,8835922693.511276,166.1991249278161,90.75700676311048
211,211,750025269.5167053,2438.1191089348004,148.0341855650376
212,212,18736134564.15644,333.8490086476903,228.9864869815469
213,213,984921342.2429956,508.7204221786381,95.19576959124734
214,214,5817850467.532003,836.5348047323025,139.46972427738652
215,215,5721622909.438254,820.1972420546937,146.37966181718028
216,216,0.0,351.98390986984407,96.13124619529718
217,217,16073043794.004368,513.2274383118303,304.51896021629256
218,218,4229634141.243034,1085.608483533588,365.7355053535371
219,219,718536641.1494044,139.49954259247585,355.89705947076436
220,220,6512792566.375114,119.66269043178903,162.9602994638076
221,221,208080664.71953624,105.74947297451895,96.26779658360024
222,222,95323663.15816045,292.77005119701164,120.91036798479837
223,223,1897403027.5703838,293.7103522954844,225.06394134764074
224,224,11566783817.480337,2386.1112245874365,919.4790090376443
225,225,32099456798.163227,170.26313603167867,98.55463628695888
226,226,118832460982.92319,655.2371102738256,148.57610427140494
227,227,6494782092.5347185,92.24409849249538,90.67184021640314
228,228,9609179732.199364,1535.5856650973988,268.8400804015985
229,229,10270967393.874287,742.6613007179749,135.39759444490593
230,230,18445719218.33736,491.3216022224312,87.57695809426708
231,231,13966179.33062094,1326.1006118879152,49.30650367392893
